"File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR",,
"ENCFF011DHD	bam	bam		alignments	GRCh38	ENCSR290IHM	total RNA-seq	/human-donors/ENCDO609ZOG/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF479YLJ/"," /files/ENCFF598IDH/	2346295154	ENCODE Processing Pipeline	46d7b13774d67ae93b94787b67e5a421		https://www.encodeproject.org/files/ENCFF011DHD/@@download/ENCFF011DHD.bam	V29			released	s3://encode-public/2022/03/09/100fb33b-0f11-423d-948b-5897b0e50963/ENCFF011DHD.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/100fb33b-0f11-423d-948b-5897b0e50963/ENCFF011DHD.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF337BKK	bam	bam		transcriptome alignments	GRCh38	ENCSR290IHM	total RNA-seq	/human-donors/ENCDO609ZOG/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF479YLJ/"," /files/ENCFF598IDH/	1998346961	ENCODE Processing Pipeline	55cab1c72fff1ce7bfd7bceeb8018a7c		https://www.encodeproject.org/files/ENCFF337BKK/@@download/ENCFF337BKK.bam	V29			released	s3://encode-public/2022/03/09/8a8b5b69-d59c-416f-9cb4-d4b5fe13ac49/ENCFF337BKK.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/8a8b5b69-d59c-416f-9cb4-d4b5fe13ac49/ENCFF337BKK.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF846YHZ	fastq	fastq		reads		ENCSR539OQU	total RNA-seq	/human-donors/ENCDO865EMM/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1	101		single-ended					2812156898	Barbara Wold"," Caltech	8d35834b5ab370195b36c6e1ca37c59b	SRA:SRR22520915	https://www.encodeproject.org/files/ENCFF846YHZ/@@download/ENCFF846YHZ.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2022/03/28/648a6c1e-9b93-4655-aa63-7e08304900de/ENCFF846YHZ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/28/648a6c1e-9b93-4655-aa63-7e08304900de/ENCFF846YHZ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF787AKZ	bam	bam		alignments	GRCh38	ENCSR539OQU	total RNA-seq	/human-donors/ENCDO865EMM/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF846YHZ/	2912363050	ENCODE Processing Pipeline	e809488eb1df2c69e5060e13368fa2bd		https://www.encodeproject.org/files/ENCFF787AKZ/@@download/ENCFF787AKZ.bam	V29			released	s3://encode-public/2022/04/14/996a5036-3436-4855-9948-993a1ac11a37/ENCFF787AKZ.bam	https://datasetencode.blob.core.windows.net/dataset/2022/04/14/996a5036-3436-4855-9948-993a1ac11a37/ENCFF787AKZ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF858PYV	bam	bam		transcriptome alignments	GRCh38	ENCSR539OQU	total RNA-seq	/human-donors/ENCDO865EMM/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF846YHZ/	1951263828	ENCODE Processing Pipeline	01651f624c66f3c186b5395449bd1583		https://www.encodeproject.org/files/ENCFF858PYV/@@download/ENCFF858PYV.bam	V29			released	s3://encode-public/2022/04/14/236948d6-1671-48b5-8505-8f3815ac73b8/ENCFF858PYV.bam	https://datasetencode.blob.core.windows.net/dataset/2022/04/14/236948d6-1671-48b5-8505-8f3815ac73b8/ENCFF858PYV.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF760VHN	fastq	fastq		reads		ENCSR395DKP	total RNA-seq	/human-donors/ENCDO203ASI/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1	101		single-ended					2552146041	Barbara Wold"," Caltech	c4e4c9c44bf56286affdd9a2ed6b7e97	SRA:SRR22521758	https://www.encodeproject.org/files/ENCFF760VHN/@@download/ENCFF760VHN.fastq.gz		Illumina NextSeq 2000		released	s3://encode-public/2022/03/03/423550c5-ef3b-4ef7-b9b9-759be58d8874/ENCFF760VHN.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/03/423550c5-ef3b-4ef7-b9b9-759be58d8874/ENCFF760VHN.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF961VZS	bam	bam		transcriptome alignments	GRCh38	ENCSR395DKP	total RNA-seq	/human-donors/ENCDO203ASI/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF760VHN/"," /files/ENCFF598IDH/	2162371211	ENCODE Processing Pipeline	a5d3aedbd0355e3b333783e4de5fa14a		https://www.encodeproject.org/files/ENCFF961VZS/@@download/ENCFF961VZS.bam	V29			released	s3://encode-public/2022/03/09/c5bd3f35-dac3-418d-980b-80fcba75e402/ENCFF961VZS.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/c5bd3f35-dac3-418d-980b-80fcba75e402/ENCFF961VZS.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF553VZK	bam	bam		alignments	GRCh38	ENCSR395DKP	total RNA-seq	/human-donors/ENCDO203ASI/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF760VHN/"," /files/ENCFF598IDH/	2538339576	ENCODE Processing Pipeline	2e0e90d3d158f46f3e1c30601b0da5e5		https://www.encodeproject.org/files/ENCFF553VZK/@@download/ENCFF553VZK.bam	V29			released	s3://encode-public/2022/03/09/2165d362-d5b1-416a-b287-1d214ced97ff/ENCFF553VZK.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/2165d362-d5b1-416a-b287-1d214ced97ff/ENCFF553VZK.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF952JOG	fastq	fastq		reads		ENCSR282UMY	total RNA-seq	/human-donors/ENCDO201EUI/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1	101		single-ended					2949941038	Barbara Wold"," Caltech	a99663be3a2a4d7edefd7dd601bb01ed	SRA:SRR22522189	https://www.encodeproject.org/files/ENCFF952JOG/@@download/ENCFF952JOG.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2022/03/28/9cbb1760-798a-4956-aadd-886c69401331/ENCFF952JOG.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/28/9cbb1760-798a-4956-aadd-886c69401331/ENCFF952JOG.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF930BML	bam	bam		transcriptome alignments	GRCh38	ENCSR282UMY	total RNA-seq	/human-donors/ENCDO201EUI/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF952JOG/	2441787048	ENCODE Processing Pipeline	d37cb53ad62ffe00e2ccd6892874490c		https://www.encodeproject.org/files/ENCFF930BML/@@download/ENCFF930BML.bam	V29			released	s3://encode-public/2022/04/14/ac762236-5601-49c6-b032-846a7549bf0c/ENCFF930BML.bam	https://datasetencode.blob.core.windows.net/dataset/2022/04/14/ac762236-5601-49c6-b032-846a7549bf0c/ENCFF930BML.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF930NDI	bam	bam		alignments	GRCh38	ENCSR282UMY	total RNA-seq	/human-donors/ENCDO201EUI/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF952JOG/	2940969806	ENCODE Processing Pipeline	5cdd86d238424266861d74b0a0bfe76b		https://www.encodeproject.org/files/ENCFF930NDI/@@download/ENCFF930NDI.bam	V29			released	s3://encode-public/2022/04/14/a118204e-1f43-4133-a7ad-c3a79d493282/ENCFF930NDI.bam	https://datasetencode.blob.core.windows.net/dataset/2022/04/14/a118204e-1f43-4133-a7ad-c3a79d493282/ENCFF930NDI.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF961CHP	fastq	fastq		reads		ENCSR275JSL	total RNA-seq	/human-donors/ENCDO059BOC/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1	101		single-ended					2803312270	Barbara Wold"," Caltech	c00dab8d02b0c722348b5920861e7ad4	SRA:SRR22522171	https://www.encodeproject.org/files/ENCFF961CHP/@@download/ENCFF961CHP.fastq.gz		Illumina NextSeq 2000		released	s3://encode-public/2022/03/03/909cf1cd-57da-48e6-a2db-54c1c4be6518/ENCFF961CHP.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/03/909cf1cd-57da-48e6-a2db-54c1c4be6518/ENCFF961CHP.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF375SZI	bam	bam		alignments	GRCh38	ENCSR275JSL	total RNA-seq	/human-donors/ENCDO059BOC/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF961CHP/	2786184157	ENCODE Processing Pipeline	10edb28727b1ccaaf2e0016cd9951351		https://www.encodeproject.org/files/ENCFF375SZI/@@download/ENCFF375SZI.bam	V29			released	s3://encode-public/2022/03/09/b2d84f77-7960-47fe-8229-7e12224f38b3/ENCFF375SZI.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/b2d84f77-7960-47fe-8229-7e12224f38b3/ENCFF375SZI.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF339KDB	bam	bam		transcriptome alignments	GRCh38	ENCSR275JSL	total RNA-seq	/human-donors/ENCDO059BOC/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF961CHP/	2132018675	ENCODE Processing Pipeline	3679d9209eb73aa3ac293c2f3cd13eea		https://www.encodeproject.org/files/ENCFF339KDB/@@download/ENCFF339KDB.bam	V29			released	s3://encode-public/2022/03/09/c525a369-14cc-4af3-993f-1c6ef227d6e5/ENCFF339KDB.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/c525a369-14cc-4af3-993f-1c6ef227d6e5/ENCFF339KDB.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF225SGI	fastq	fastq		reads		ENCSR052LON	total RNA-seq	/human-donors/ENCDO570AKP/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1	101		single-ended					2617105243	Barbara Wold"," Caltech	146d62f3e5ed71b028a3eb5e36d48739	SRA:SRR22520970	https://www.encodeproject.org/files/ENCFF225SGI/@@download/ENCFF225SGI.fastq.gz		Illumina NextSeq 2000		released	s3://encode-public/2022/03/03/3a7719ce-d246-45d5-9e1e-6f785cf51f8a/ENCFF225SGI.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/03/3a7719ce-d246-45d5-9e1e-6f785cf51f8a/ENCFF225SGI.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF363MZD	bam	bam		alignments	GRCh38	ENCSR052LON	total RNA-seq	/human-donors/ENCDO570AKP/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF225SGI/	2601059255	ENCODE Processing Pipeline	2cc8ad5dc93515b37885675bf93e265f		https://www.encodeproject.org/files/ENCFF363MZD/@@download/ENCFF363MZD.bam	V29			released	s3://encode-public/2022/03/09/ec5f2452-1288-48bb-8da5-98a3c529333b/ENCFF363MZD.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/ec5f2452-1288-48bb-8da5-98a3c529333b/ENCFF363MZD.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF017ATX	bam	bam		transcriptome alignments	GRCh38	ENCSR052LON	total RNA-seq	/human-donors/ENCDO570AKP/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF225SGI/	2243800458	ENCODE Processing Pipeline	56efff39b39138b35805720b791993ba		https://www.encodeproject.org/files/ENCFF017ATX/@@download/ENCFF017ATX.bam	V29			released	s3://encode-public/2022/03/09/5d961728-ff99-475c-b442-d4563d3b5695/ENCFF017ATX.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/5d961728-ff99-475c-b442-d4563d3b5695/ENCFF017ATX.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF611FPK	fastq	fastq		reads		ENCSR277QAN	total RNA-seq	/human-donors/ENCDO730UYW/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1	101		single-ended					2512197938	Barbara Wold"," Caltech	5ee24efb215178b457b646e758c1047d	SRA:SRR22522180	https://www.encodeproject.org/files/ENCFF611FPK/@@download/ENCFF611FPK.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2022/03/28/73d17263-008c-4e8f-b8ab-ae32d8ccf7d7/ENCFF611FPK.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/28/73d17263-008c-4e8f-b8ab-ae32d8ccf7d7/ENCFF611FPK.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF764JZF	bam	bam		transcriptome alignments	GRCh38	ENCSR277QAN	total RNA-seq	/human-donors/ENCDO730UYW/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF611FPK/	2150518273	ENCODE Processing Pipeline	48275443f9adeed48ed3ed9535e0b7f9		https://www.encodeproject.org/files/ENCFF764JZF/@@download/ENCFF764JZF.bam	V29			released	s3://encode-public/2022/04/14/1d35257f-3b33-4f22-bcc5-06c6e39ef454/ENCFF764JZF.bam	https://datasetencode.blob.core.windows.net/dataset/2022/04/14/1d35257f-3b33-4f22-bcc5-06c6e39ef454/ENCFF764JZF.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
